dwt_mean,dwt_max,dwt_min,dwt_median,dwt_q1,dwt_q3,dwt_iqr,mfcc_mean,mfcc_std,mfcc_max,mfcc_median,mfcc_var,mfcc_skew,mfcc_kurtosis,mfcc_q1,mfcc_q3,mfcc_iqr,mfcc_range,cqt_mean,cqt_min,cqt_median,cqt_var,cqt_kurtosis,cqt_q1,cqt_q3,cqt_iqr,cqt_range,chroma_mean,chroma_std,chroma_max,chroma_min,chroma_median,chroma_var,chroma_skew,chroma_kurtosis,chroma_q1,chroma_q3,chroma_iqr,chroma_range,rms_mean,rms_std,rms_max,rms_min,rms_median,rms_var,rms_skew,rms_kurtosis,rms_q1,rms_q3,rms_range,shannon_entropy,audio_type
1.2067496e-08,0.013878082,-0.014668401,-1.5006444e-11,-2.8374778e-05,2.6274009e-05,5.46487872270518e-05,-81.47304,295.34805,152.37076,0.0,87230.48,-3.1632807,8.0817175,-3.0194807,3.4106922,6.430172920227051,1283.7416,0.00035192477,4.0083276e-15,1.9746462e-06,1.3052812e-06,42.426895,8.052695e-08,9.641051e-05,9.63299859737532e-05,0.01973949,0.50524193,0.27862,1.0,0.0048000747,0.4663093,0.07762911,0.32086942,-0.9971149,0.27593625,0.7165022,0.44056589901447296,0.9951999,0.00030216703,0.0004160399,0.0014828233,9.717603e-08,4.8292106e-05,1.730892e-07,1.2834492,0.30862856,1.0936663e-05,0.0005238562,0.0014827261,8.86671,myocardial
5.9681184e-07,0.039520957,-0.040875375,1.6707434e-11,-1.591385e-05,1.6896254e-05,3.281010413047625e-05,-82.751785,298.57016,158.75189,0.009528801,89144.14,-3.1703205,8.072689,-1.4355888,3.832027,5.267615795135498,1290.1228,0.00014061345,1.4378253e-13,3.3964257e-06,7.922514e-07,271.56235,1.756007e-07,4.1364758e-05,4.118915693140934e-05,0.0237071,0.54509556,0.2804892,1.0,0.007902552,0.54881597,0.07867419,-0.027247934,-1.001624,0.32424593,0.7610721,0.4368261843919754,0.99209744,0.0001073488,0.00028123928,0.0017552736,1.6478721e-07,3.400209e-05,7.909553e-08,4.7313614,22.49223,9.2323335e-06,7.59478e-05,0.0017551087,5.972518,myocardial
3.8707913e-07,0.032473274,-0.023626687,7.594341e-12,-1.6597896e-05,1.5977752e-05,3.257564685554826e-05,-81.9804,297.2465,171.03497,0.0,88355.484,-3.1648266,8.062517,-3.098609,1.6634824,4.762091398239136,1302.4058,0.00021040517,9.640492e-15,1.1592745e-06,6.0015145e-07,320.20486,9.435148e-08,7.7248216e-05,7.715386841944394e-05,0.022885453,0.51431566,0.27105418,1.0,0.0071270373,0.48173428,0.07347037,0.26059276,-0.88574386,0.30771735,0.7078131,0.40009572356939316,0.99287295,0.00013530656,0.00019700246,0.0013429141,1.12499684e-07,8.207831e-05,3.8809972e-08,3.8906617,20.913025,3.342536e-06,0.00021510801,0.0013428016,7.658798,myocardial
-4.941957e-07,0.13160884,-0.1188166,-2.0067597e-11,-1.4291681e-05,1.3589952e-05,2.788163260447618e-05,-77.83427,280.35214,168.92433,0.0,78597.33,-3.1712751,8.082986,0.0,2.7354012,2.735401153564453,1227.1442,0.00066257897,5.5331546e-14,1.1119814e-06,5.353527e-05,516.69464,9.133059e-08,2.6923834e-05,2.6832503362328453e-05,0.27718854,0.5251,0.28339958,1.0,0.0024383385,0.508046,0.08031532,0.09851229,-1.0295575,0.29522625,0.751158,0.45593179017305374,0.99756163,0.0006812052,0.0023812186,0.015121508,9.55475e-08,2.551862e-05,5.6702015e-06,4.1859336,17.443203,5.695775e-06,7.464455e-05,0.015121412,7.720282,myocardial
4.204849e-07,0.002664753,-0.002124243,-7.600626e-11,-3.1005107e-05,2.885994e-05,5.986504629618139e-05,-82.01542,298.5283,97.61485,0.44915938,89119.13,-3.1695268,8.072111,-0.28519803,4.8982368,5.183434784412384,1228.9857,9.379041e-05,1.1282039e-12,2.0650496e-06,5.9205885e-08,33.263412,1.7892532e-07,5.7076126e-05,5.689720139656629e-05,0.003403007,0.5712076,0.25189158,1.0,0.030912286,0.5655706,0.06344937,0.07214637,-0.91920733,0.36899576,0.76116353,0.3921677842736244,0.9690877,5.834621e-05,5.626499e-05,0.0002025946,8.227275e-07,3.5770758e-05,3.1657492e-09,0.95361835,-0.3233428,1.2871658e-05,9.124197e-05,0.00020177188,9.517833,myocardial
-6.1149643e-07,0.008678515,-0.007957276,5.7728023e-08,-2.987651e-05,3.005565e-05,5.9932158819719916e-05,-81.96727,300.12323,145.21638,1.7466958,90073.945,-3.172135,8.074416,0.0,6.4243975,6.4243974685668945,1276.5873,0.00012539687,4.9089195e-11,3.939439e-06,1.850421e-07,107.44383,2.8239145e-07,5.380881e-05,5.352641829148297e-05,0.009784881,0.64644104,0.23366159,1.0,0.08947677,0.6559243,0.05459774,-0.1963614,-0.89816284,0.47133875,0.8388036,0.3674648553133011,0.91052324,8.332458e-05,8.9670975e-05,0.00044679688,4.980083e-06,6.1117054e-05,8.040884e-09,2.778722,7.335964,3.639597e-05,8.983044e-05,0.0004418168,7.8040776,myocardial
-3.9231118e-08,0.0348752,-0.035988454,-4.6190794e-11,-2.27756e-05,2.1937121e-05,4.471272268347093e-05,-81.85584,297.42465,179.33725,0.21200462,88461.42,-3.1673808,8.072943,-2.1908112,4.5566297,6.747440814971924,1310.7081,0.00031015027,1.4489018e-13,5.290827e-06,3.4695e-06,1307.3309,3.2581528e-07,6.182181e-05,6.149599748539458e-05,0.10895736,0.5554553,0.2899942,1.0,0.0052526128,0.5674421,0.08409665,-0.17306033,-0.97430634,0.342643,0.7876681,0.44502513110637665,0.9947474,0.000257416,0.00069720915,0.0047623985,1.2551462e-06,5.610898e-05,4.861006e-07,4.787013,25.146238,2.1181382e-05,0.00014410389,0.0047611436,6.9679384,myocardial
-1.3504959e-07,0.006414991,-0.008794067,-3.267039e-09,-2.8882574e-05,2.6642694e-05,5.552526772589772e-05,-81.987236,296.59354,108.41255,0.0,87967.734,-3.165908,8.05833,-4.6949263,4.925923,9.620849132537842,1239.7834,0.0001247284,1.1024563e-11,9.961443e-06,1.00259825e-07,48.893818,6.8228684e-07,8.683966e-05,8.615737141326463e-05,0.005569136,0.5380327,0.2789073,1.0,0.0056046187,0.5357263,0.07778928,-0.033894967,-0.92051077,0.3332762,0.7485585,0.41528230905532837,0.9943954,8.35638e-05,8.212433e-05,0.00037616686,2.4713584e-06,5.4970238e-05,6.744406e-09,1.5355334,2.3476977,1.9995285e-05,0.00012997954,0.0003736955,9.103534,myocardial
1.3046654e-09,0.0069265366,-0.00574804,2.7754138e-10,-3.8161605e-05,3.744142e-05,7.560302219644655e-05,-81.59071,298.64917,121.73058,1.1795008,89191.32,-3.1696026,8.070254,-0.38580877,6.045286,6.431094944477081,1253.1014,0.00010467428,3.0695542e-12,4.4089106e-06,1.9866008e-07,1586.4122,2.7370257e-07,6.800602e-05,6.773231947221348e-05,0.027251538,0.54307175,0.2633443,1.0,0.01701869,0.5162728,0.06935022,0.20326155,-1.008812,0.32451513,0.74972093,0.4252057671546936,0.9829813,8.431413e-05,0.0001614758,0.0012508634,2.6147256e-06,4.7841262e-05,2.607443e-08,5.925616,37.446083,3.135118e-05,8.387497e-05,0.0012482487,7.053975,myocardial
-6.391666e-07,0.0033457985,-0.0030214821,-5.635691e-08,-3.384551e-05,3.13246e-05,6.517010842799209e-05,-81.922455,299.96252,76.835365,1.9148166,89977.51,-3.1720147,8.073416,0.0,6.5366597,6.5366597175598145,1208.2062,8.977969e-05,9.08123e-10,4.90242e-06,5.3335636e-08,39.123505,3.1487565e-07,5.0104158e-05,4.9789281142409436e-05,0.004114312,0.52622575,0.27235755,1.0,0.006503305,0.48964834,0.074178636,0.2686795,-1.0576621,0.29542115,0.739382,0.44396087527275085,0.9934967,6.0755396e-05,3.518797e-05,0.0001988539,4.4360004e-06,5.257447e-05,1.2381933e-09,1.1313201,1.99021,3.473172e-05,8.326347e-05,0.0001944179,9.0255785,myocardial
